куда;код;артикул;внешний код;наименование;архив;замечание
"ООО ""ОДИССЕЙ"" WB";5847wb;WB 006R04381;5847;Картридж для Xerox 006R04381 B-305/310/315 20K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6067wb;WB 006R04380;6067;Картридж для Xerox 006R04380 B-310 8K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6067wb;;6067;Картридж для Xerox 006R04380 B-310 8K White Box (Совместимый);да;
"ООО ""ОДИССЕЙ"" WB";6318wb;WB W9220MC K;6318;Картридж для HP W9220MC HP CLJ-E78223 25K Black White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6319wb;WB W9221MC C;6319;Картридж для HP W9221MC HP CLJ-E78223 20K Cyan White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6320wb;WB W9222MC Y;6320;Картридж для HP W9222MC HP CLJ-E78223 20K Yellow White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6321wb;WB W9223MC M;6321;Картридж для HP W9223MC HP CLJ-E78223 20K Magenta White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6336wb;WB TK-6345;6336;Картридж для Kyocera TK6345 TASKalfa 5004/6004/7004 40K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6381wb;WB DR2305;6381;Картридж для Brother DR2305 HL L2320D 12K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6382wb;WB DL-R5220 DRUM;6382;Картридж для Pantum DL-R5220  BM5201ADN/BP5200DN 30K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6383wb;WB TL-C2310H;6383;Картридж для Pantum TL-C2310H BM2300/BP2300 1.6K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6384wb;WB TL-R5220X;6384;Картридж для Pantum TL-R5220X  BM5201ADN/BP5200DN 15K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6385wb;WB MX561GT;6385;Картридж для Sharp MX561GT MX-M2630/MX-M2651EU 40K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6400wb;WB W2300A;6400;Картридж для HP W2300A HP Color LaserJet Pro 4203/MFP 4303 2K Black White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6401wb;WB W2301A;6401;Картридж для HP W2301A HP Color LaserJet Pro 4203/MFP 4303 1.8K Cyan White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6402wb;WB W2302A;6402;Картридж для HP W2302A HP Color LaserJet Pro 4203/MFP 4303 1.8K Yellow White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6403wb;WB W2303A;6403;Картридж для HP W2303A HP Color LaserJet Pro 4203/MFP 4303 1.8K Magenta White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6419wb;WB DR1071;6419;Картридж для Avision DR1071 AP40A/AM40A 35K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6754wb;WB W1110A;6754;Картридж для HP W1110A HP LJ 108/MFP137 1.5K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";6809wb;WB 055H-Bk ЧИП БС;6809;Картридж для Canon 055H Bk LBP660ser/MF740ser Black 7.6K ЧИП Без Счетчика White Box;;
"ООО ""ОДИССЕЙ"" WB";6810wb;;6810;Картридж для Canon 055H C LBP660ser/MF740ser Cyan 5.9K ЧИП Без Счетчика White Box;;
"ООО ""ОДИССЕЙ"" WB";6811wb;;6811;Картридж для Canon 055H M LBP660ser/MF740ser Magenta 5.9K ЧИП БезСчетчика White Box;;
"ООО ""ОДИССЕЙ"" WB";6812wb;;6812;Картридж для Canon 055H Y LBP660ser/MF740ser Yellow 5.9K ЧИП Без Счетчика White Box;;
"ООО ""ОДИССЕЙ"" WB";7189wb;WB WT-201 WASTE;7189;Картридж для Canon WT-201 IR C250 БУНКЕР ОТРАБОТКИ White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7190wb;WB Deli T108;7190;Картридж для Deli T108 P1820/M1820 1.6K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7191wb;WB W9018MC DRUM;7191;Картридж для HP W9018MC HP CLJ E75245 75K БАРАБАН White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7192wb;WB B5L37A WASTE;7192;Картридж для HP B5L37A HP CLJ-Flow M577 БУНКЕР ОТРАБОТКИ 54K Black White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7193wb;WB CWT-2000;7193;Картридж для Pantum CWT-2000 CP2200/CM2200 15K БункерОтработки White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7194wb;WB CWT-2600;7194;Картридж для Pantum CWT-2600 CM270/CM420 35K БункерОтработки White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7195wb;WB TL-3200H;7195;Картридж для Pantum TL-3200H BM230/BM320 12K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7196wb;WB 008R13215;7196;Картридж для Xerox 008R13215 DocuCentre SC2020 КОНТЕЙНЕР ОТРАБОТКИ 15K White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7197wb;WB 108R01124 ОТРАБОТКА;7197;Картридж для Xerox 108R01124 VersaLink-C400/WC-6655 Бункер Отработки 30К White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7198wb;WB 108R01416 ОТРАБОТКА;7198;Картридж для Xerox 108R01416 VersaLink-C500/WC-6515 Бункер Отработки 30К White Box (Совместимый);;
"ООО ""ОДИССЕЙ"" WB";7199wb;WB W1370X ЧИП БЛ;7199;Картридж для HP W1370X HP LJ M208/M232 2.6K ЧИП БезЛимит Black White Box (Совместимый);;
