код;внешний код;наименование МС;Название WB (соберём);бренды ТК
4835cs;4835;Картридж струйный G&G GG-3ED68A 712 пурпурный (29мл) для HP DesignJet T650/T630/T250/T230/T210/Studio Plotter Printers;Картридж 3ED68A для HP 712 пурпурный с чипом;HP
4836cs;4836;Картридж струйный G&G GG-3ED69A 712 желтый (29мл) для HP DesignJet T650/T630/T250/T230/T210/Studio Plotter Printers;Картридж 3ED69A для HP 712 желтый с чипом;HP
4837cs;4837;Картридж струйный G&G GG-3ED71A 712 черный (80мл) для HP DesignJet T650/T630/T250/T230/T210/Studio Plotter Printers;Картридж 3ED71A для HP 712 черный с чипом;HP
4887cs;4887;Картридж лазерный G&G GG-W1500X W1500X черный (2000стр.) для HP LaserJet M111a/M111w/MFP M141a/M141W;Картридж W1500X для HP 150X черный с чипом XL ресурс;HP
4963sf;4963;Картридж Canon CLI-42 PIXMA-PRO-100 Black SuperFine;Картридж CLI-42BK для Canon 6384B001 черный;Canon
4964sf;4964;Картридж Canon CLI-42 PIXMA-PRO-100 Cyan SuperFine;Картридж CLI-42C для Canon 6385B001 голубой;Canon
4965sf;4965;Картридж Canon CLI-42 PIXMA-PRO-100 Gray SuperFine;Картридж CLI-42GY для Canon 6390B001 серый;Canon
4967sf;4967;Картридж Canon CLI-42 PIXMA-PRO-100 Magenta SuperFine;Картридж CLI-42M для Canon 6386B001 пурпурный;Canon
4969sf;4969;Картридж Canon CLI-42 PIXMA-PRO-100 Photo Magenta SuperFine;Картридж CLI-42PM для Canon 6389B001 фото-пурпурный;Canon
4970sf;4970;Картридж Canon CLI-42 PIXMA-PRO-100 Yellow SuperFine;Картридж CLI-42Y для Canon 6387B001 желтый;Canon
5027bs;5027;Blossom BS-T6735-1L Чернила для Epson L800/L1800, ight cyan, 1000мл.;Чернила T6735-1L для Epson светло-голубой;Epson
5028bs;5028;Blossom BS-T6736-1L Чернила для Epson L800/L1800, ight magenta, 1000мл.;Чернила T6736-1L для Epson светло-пурпурный;Epson
5029bs;5029;Blossom BS-T7741-1L Емкость с чернилами для Epson M100/M200, 1000мл;Чернила T7741-1L для Epson черный;Epson
5153np;5153;Тонер-картридж NetProduct (N-TL-428X) для Pantum P3308DN/P3308DW/M7108DN/M7108DW, 6К;Картридж TL-428X для Pantum черный XL ресурс;Pantum
5164bs;5164;Тонер-картридж Samsung CLT-K606S для CLX-9250/9252/9350/9352, Bk, 25K, Blossom;Картридж CLT-K606S для Samsung K606 черный;Samsung
5217bs;5217;Матричный картридж Oki ML-5100FB для ML-5100FB, черный, Blossom;Картридж ML-5100FB для OKI 43821103 черный;OKI
5263bs;5263;Драм-картридж Canon C-EXV51DU для ADV C5535/i/C5540i/C5550i/C5560i MFP, Bk-458К/373K-CMY, Blossom;Фотобарабан C-EXV51 для Canon голубой/желтый/пурпурный/черный;Canon
5336cs;5336;Картридж лазерный G&G GG-C703 черный (2000стр.) для Canon LBP2900/3000Series;Картридж 703 для Canon 7616A005 черный;Canon
5351cs;5351;Картридж лазерный G&G GG-C725 черный (1600стр.) для Canon imageCLASS MF3010 MFP/LBP-6000/6000B/6020/6020B/MF-3010, LJ P1102/1102w Pro M1130/1212 HP;Картридж 725 для Canon 3484B002 черный с чипом;Canon
5353cs;5353;Картридж лазерный G&G GG-CB435A UNIVERSAL черный (2000стр.) для HP P1005/1006/1505/M1120/М1522/P1102/1214/M1132/1212nf/1217nfw/1218nfs/P1560/1566/1606/M1536dnf Canon MF3010/4410/4412/4420n/ D520/530/550/MF4450/4452/4550d/4570/4770n/4880dw/4890dw/LBP-;Картридж CB435A для HP 35A черный с чипом;HP
5353cs;5353;Картридж лазерный G&G GG-CB435A черный (1500стр.) для HP LJ P1005/P1006;Картридж CB435A для HP 35A черный с чипом;HP
5354cs;5354;Картридж лазерный G&G GG-CB436A черный (2000стр.) для HP LJ P1505/ M1120/M1522;Картридж CB436A для HP 36A черный с чипом;HP
5355cs;5355;Картридж лазерный G&G GG-C728 черный (2100стр.) для Canon i-Sensys MF4410/4420/4430/4450/4550D/4570/4580;Картридж 728 для Canon 3500B002 черный с чипом;Canon
5360cs;5360;Картридж лазерный G&G GG-C729BK черный (1200стр.) для Canon i-SENSYS LBP-7010C/ LBP-7018C;Картридж 729 для Canon 4370B002 черный;Canon
5361cs;5361;Картридж лазерный G&G GG-C729C голубой (1000стр.) для Canon i-SENSYS LBP-7010C/ LBP-7018C;Картридж 729 для Canon 4369B002 голубой;Canon
5362cs;5362;Картридж лазерный G&G GG-C729M пурпурный (1000стр.) для Canon i-SENSYS LBP-7010C/ LBP-7018C;Картридж 729 для Canon 4368B002 пурпурный;Canon
5363cs;5363;Картридж лазерный G&G GG-C729Y желтый (1000стр.) для Canon i-SENSYS LBP-7010C/ LBP-7018C;Картридж 729 для Canon 4367B002 желтый;Canon
5369cs;5369;Картридж лазерный G&G GG-TK1170 черный (7200стр.) для Kyocera Ecosys M2040DN/M2540DN/M2640IDW;Картридж TK-1170 для Kyocera черный с чипом;Kyocera
5374cs;5374;"Картридж лазерный G&G GG-C069HBK 069H Black черный (7600стр.) для Canon I_sensys LBP673CDW/MF754CDW/MF752CDW(EUR);Canon imageCLASS MF756Cx(AP);imageCLASS LBP674CDW/MF753CDW/MF751CDW(CA)";Картридж 069H для Canon 5098C002 черный с чипом;Canon
5374hb;5374;Картридж Hi-Black (HB-069H BK) Canon i-Sensys LBP-673Cdw/MF752Cdw/MF754Cdw, Bk, 7,6K;Картридж 069H для Canon 5098C002 черный с чипом;Canon
5375bt;5375;Тонер-картридж 7Q 069H для Canon LBP673, MF752  (Голубой, 5500 стр., с чипом 069);Картридж 069H для Canon 5097C002 голубой с чипом;Canon
5375cs;5375;"Картридж лазерный G&G GG-C069HC 069H Cyan голубой (5500стр.) для Canon I_sensys LBP673CDW/MF754CDW/MF752CDW(EUR);Canon imageCLASS MF756Cx(AP);imageCLASS LBP674CDW/MF753CDW/MF751CDW(CA)";Картридж 069H для Canon 5097C002 голубой с чипом;Canon
5376cs;5376;"Картридж лазерный G&G GG-C069HM 069H Magenta пурпурный (5500стр.) для Canon I_sensys LBP673CDW/MF754CDW/MF752CDW(EUR);Canon imageCLASS MF756Cx(AP);imageCLASS LBP674CDW/MF753CDW/MF751CDW(CA)";Картридж 069H для Canon 5096C002 пурпурный с чипом;Canon
5377cs;5377;"Картридж лазерный G&G GG-C069HY 069H Yellow желтый (5500стр.) для Canon I_sensys LBP673CDW/MF754CDW/MF752CDW(EUR);Canon imageCLASS MF756Cx(AP);imageCLASS LBP674CDW/MF753CDW/MF751CDW(CA)";Картридж 069H для Canon 5095C002 желтый с чипом;Canon
5384cs;5384;Картридж лазерный G&G GG-C055HBK 055H черный (7600стр.) для Canon LBP660/663Cdw/LBP664Cx, MF741/745/746Cx/MF742Cdw/743/MF744Cdw;Картридж 055H BK для Canon 3020C002 черный с чипом;Canon
5385cs;5385;Картридж лазерный G&G GG-C055HC 055H голубой (5900стр.) для Canon LBP660/663Cdw/LBP664Cx, MF746Cx/MF742Cdw/MF744Cdw/MF741/MF743/MF745;Картридж 055H C для Canon 3019C002 голубой с чипом;Canon
5386cs;5386;Картридж лазерный G&G GG-C055HM 055H пурпурный (5900стр.) для Canon LBP660/663Cdw/LBP664Cx, MF746Cx/MF742Cdw/MF744Cdw/MF746/MF743/MF741;Картридж 055H M для Canon 3018C002 пурпурный с чипом;Canon
5387cs;5387;Картридж лазерный G&G GG-C055HY 055H желтый (5900стр.) для Canon LBP663Cdw/LBP664Cx/MF746Cx/MF742Cdw/MF744Cdw;Картридж 055H Y для Canon 3017C002 желтый с чипом;Canon
5389cs;5389;Картридж лазерный G&G GG-1610D2 черный (3000стр.) для Samsung ML-1610/1615/2010/2015/2510/2570;Картридж ML-1610 для Samsung черный;Samsung
5403cs;5403;Картридж лазерный G&G GG-C056H черный (21000стр.) для Canon LBP325x/MF543x/MF542x;Картридж 056H для Canon 3008C002 черный с чипом без счётчика;Canon
5404cs;5404;Картридж лазерный G&G GG-C057H черный (10000стр.) для Canon LBP228x/LBP226dw/LBP223dw/MF449x/MF446x/MF445dw;Картридж 057H для Canon черный с чипом без счётчика XL ресурс;Canon
5404cs;5404;Картридж лазерный Print-Rite TFCA26BPU1J PR-057H 057H черный (10000стр.) для Canon LBP 223dw/226dw/227dw/228x, MF 443dw/445dw/446X/448dw/449X;Картридж 057H для Canon черный с чипом без счётчика XL ресурс;Canon
5405sf;5405;Картридж HP W1500X С ЧИПОМ БЕЗ СЧЕТЧИКА LJ-M111/M141 2K SuperFine;Картридж W1500X для HP 150X черный с чипом без счётчика;HP
5407hb;5407;Картридж Hi-Black (HB-W1510X) для HP LJ Pro 4003dw/4003dn/MFP 4103fdw/4103fdn, 9,7K (без чипа);Картридж W1510X для HP 151X черный без чипа;HP
5418cs;5418;Картридж лазерный G&G GG-C067HBK CRG067HBLK черный (3130стр.) для Canon LBP631Cw/LBP633Cdw/LBP632Cdw/i-SENSYS MF651Cw/MF655Cdw/MF657Cdw/MF655Cw/MF657Cw/MF653Cdw/MF654Cdw/MF656Cdw;Картридж 067H Bk для Canon 5106C002 черный с чипом XL ресурс;Canon
5418hb;5418;Картридж Hi-Black (HB-067H BK) Canon i-Sensys LBP-631/633/MF651/655/657, Bk, 3,13K;Картридж 067H Bk для Canon 5106C002 черный с чипом XL ресурс;Canon
5419cs;5419;Картридж лазерный G&G GG-C067HC CRG067HCYN голубой (2350стр.) для Canon LBP631Cw/LBP633Cdw/LBP632Cdw/i-SENSYS MF651Cw/MF655Cdw/MF657Cdw/MF655Cw/MF657Cw/MF653Cdw/MF654Cdw/MF656Cdw;Картридж 067H C для Canon 5105C002 голубой с чипом XL ресурс;Canon
5420cs;5420;Картридж лазерный G&G GG-C067HM CRG067HMAG пурпурный (2350стр.) для Canon LBP631Cw/LBP633Cdw/LBP632Cdw/i-SENSYS MF651Cw/MF655Cdw/MF657Cdw/MF655Cw/MF657Cw/MF653Cdw/MF654Cdw/MF656Cdw;Картридж 067H M для Canon пурпурный с чипом XL ресурс;Canon
5421cs;5421;Картридж лазерный G&G GG-C067HY CRG067HYEL желтый (2350стр.) для Canon LBP631Cw/LBP633Cdw/LBP632Cdw/i-SENSYS MF651Cw/MF655Cdw/MF657Cdw/MF655Cw/MF657Cw/MF653Cdw/MF654Cdw/MF656Cdw;Картридж 067H Y для Canon 5103C002 желтый с чипом XL ресурс;Canon
5423sl;5423;*Восстановленный* Драм-картридж БУЛАТ s-Line DR312 для Konica Minolta bizhub 227 (Чёрный, 80000 стр.), ref.;Фотобарабан DR-312K для Konica A7Y00RD черный;Konica Minolta
5423sp;5423;Фотобарабан (драм-картридж) SP DR-312K для Konica Minolta, чёрный;Фотобарабан DR-312K для Konica A7Y00RD черный;Konica Minolta
5427sl;5427;Драм-юнит БУЛАТ s-Line DK-8115 (302P393060) для Kyocera ECOSYS M8124 (Чёрный), совместимый, ref.;Фотобарабан DK-8115 для Kyocera черный;Kyocera
5427sp;5427;Фотобарабан (драм-картридж) SP DK-8115 для Kyocera, черный;Фотобарабан DK-8115 для Kyocera черный;Kyocera
5428bt;5428;Блок проявки БУЛАТ DV-8350 (302L793010) для Kyocera TASKalfa 2552ci (Чёрный), ref.;Фотобарабан DK-8350 для Kyocera черный;Kyocera
5428bt;5428;*Восстановленный* Драм-картридж БУЛАТ DK-8350 (302L793050, 302L793051) для Kyocera TASKalfa 2552ci, 2553ci, 3252ci, 3253ci, ref.;Фотобарабан DK-8350 для Kyocera черный;Kyocera
5428sp;5428;Фотобарабан (драм-картридж) SP DK-8350 для Kyocera, черный;Фотобарабан DK-8350 для Kyocera черный;Kyocera
5435cs;5435;Картридж лазерный CopyRite CR-XE006R01829C 006R01829 голубой (16500стр.) для Xerox VersaLink C7120/C7125/C7130;Картридж 006R01829 для Xerox голубой;Xerox
5435sl;5435;Тонер-картридж БУЛАТ s-Line 006R01829 для Xerox VersaLink C7120 (Голубой, 16500 стр.);Картридж 006R01829 для Xerox голубой;Xerox
5436cs;5436;Картридж лазерный CopyRite CR-XE006R01830M 006R01830 пурпурный (16500стр.) для Xerox VersaLink C7120/C7125/C7130;Картридж 006R01830 для Xerox пурпурный;Xerox
5436sl;5436;Тонер-картридж Xerox VersaLink C7120 006R01830 (16.5k) Magenta БУЛАТ s-Line;Картридж 006R01830 для Xerox пурпурный;Xerox
5437cs;5437;Картридж лазерный CopyRite CR-XE006R01831Y 006R01831 желтый (16500стр.) для Xerox VersaLink C7120/C7125/C7130;Картридж 006R01831 для Xerox желтый;Xerox
5437sl;5437;Тонер-картридж Xerox VersaLink C7120 006R01831 (16.5k) Yellow БУЛАТ s-Line;Картридж 006R01831 для Xerox желтый;Xerox
5445ep;5445;Тонер-картридж EasyPrint LK-3400 для Kyocera ECOSYS PA4500x/MA4500x/MA4500fx (12500 стр.) с чипом;Картридж TK-3400 для Kyocera черный с чипом;Kyocera
5445gp;5445;Тонер-картридж GP-TK-3400 для принтеров Kyocera ECOSYS PA4500x/PA5000x/PA5500x/PA6000x/MA4500x/MA4500fx 12500 копий GalaPrint;Картридж TK-3400 для Kyocera черный с чипом;Kyocera
5445hb;5445;Тонер-картридж Hi-Black (HB-TK-3400) для Kyocera ECOSYS MA4500x/MA4500fx/PA4500x/5000x/5500x, 12,5K;Картридж TK-3400 для Kyocera черный с чипом;Kyocera
5445np;5445;Тонер-картридж NetProduct (N-TK-3400) для Kyocera ECOSYS MA4500x/MA4500fx/PA4500x/5000x/5500x, 12,5K;Картридж TK-3400 для Kyocera черный с чипом;Kyocera
5445sf;5445;Картридж Kyocera TK3400 PA4500x/5000x/5500x/6000x/MA4500x/MA4500fx 12.5K SuperFine;Картридж TK-3400 для Kyocera черный с чипом;Kyocera
5445sk;5445;Картридж Sakura TK3400 для Kyocera Mita PA4500x/MA4500x/fx, черный, 12500 к.;Картридж TK-3400 для Kyocera черный с чипом;Kyocera
5445sl;5445;Тонер-картридж БУЛАТ s-Line TK-3400 для Kyocera ECOSYS PA4500, PA5000 (Чёрный, 12500 стр., совместимый);Картридж TK-3400 для Kyocera черный с чипом;Kyocera
5445wb;5445;Картридж для Kyocera TK3400 EcoSys-MA4500fx/PA4500 12.5K White Box (Совместимый);Картридж TK-3400 для Kyocera черный с чипом;Kyocera
5446cs;5446;Картридж лазерный G&G GG-TK3430 TK-3430 черный (25000стр.) для Kyocera Ecosys PA5500X/MA5500ifx;Картридж TK-3430 для Kyocera черный;Kyocera
5446hb;5446;Тонер-картридж Hi-Black (HB-TK-3430) для Kyocera ECOSYS MA5500x/MA6000x/PA5500x/PA6000, 25K;Картридж TK-3430 для Kyocera черный;Kyocera
5446np;5446;Тонер-картридж NetProduct (N-TK-3430) для Kyocera ECOSYS MA5500x/MA6000x/PA5500x/PA6000, 25K;Картридж TK-3430 для Kyocera черный;Kyocera
5446wb;5446;Картридж для Kyocera TK3430 EcoSys-MA5500/PA5500 25K White Box (Совместимый);Картридж TK-3430 для Kyocera черный;Kyocera
5447cs;5447;Картридж лазерный G&G GG-TK3440 TK-3440 черный (40000стр.) для Kyocera Ecosys PA6000X/MA6000ifx;Картридж TK-3440 для Kyocera черный;Kyocera
5447cs;5447;Картридж лазерный CopyRite CR-KYTK3440 TK-3440 черный (40000стр.) для Kyocera PA6000x/MA6000ifx;Картридж TK-3440 для Kyocera черный;Kyocera
5447gp;5447;Тонер-картридж GP-TK-3440 для принтеров Kyocera ECOSYS PA6000x/MA6000ifx 40000 копий GalaPrint;Картридж TK-3440 для Kyocera черный;Kyocera
5448cs;5448;Картридж лазерный Cactus CS-TK5240M-MPS TK-5240M пурпурный (6000стр.) для Kyocera Ecosys M5526cdn/M5526cdw/P5026cdn/P5026cdw;Картридж TK-5240M для Kyocera пурпурный XL ресурс;Kyocera
5449cs;5449;Картридж лазерный Cactus CS-CLT-C806S CLT-C806S голубой (30000стр.) для Samsung SL-X7400GX/SL-X7500GX/SL-X7600GX;Картридж CLT-C806S для Samsung голубой;Samsung
5450cs;5450;Картридж лазерный Cactus CS-CLT-K806S CLT-K806S черный (45000стр.) для Samsung SL-X7400GX/SL-X7500GX/SL-X7600GX;Картридж CLT-K806S для Samsung черный;Samsung
5451cs;5451;Картридж лазерный Cactus CS-CLT-M806S CLT-M806S пурпурный (30000стр.) для Samsung SL-X7400GX/SL-X7500GX/SL-X7600GX;Картридж CLT-M806S для Samsung пурпурный;Samsung
5452cs;5452;Картридж лазерный Cactus CS-CLT-Y806S CLT-Y806S желтый (30000стр.) для Samsung SL-X7400GX/SL-X7500GX/SL-X7600GX с чипом;Картридж CLT-Y806S для Samsung желтый;Samsung
5454cs;5454;Блок фотобарабана Cactus CS-DU3600 106R01370 черный ч/б:7000стр. для Phaser 3600B 3600, 3600N Xerox;Фотобарабан 106R01370 для Xerox черный;Xerox
5455cs;5455;Блок фотобарабана Cactus CS-DU6300 108R00645 черный ч/б:35000стр. для Phaser 6300, 6350, 6360DN 6360, 6360N Xerox;Фотобарабан 108R00645 для Xerox черный;Xerox
5456cs;5456;Картридж лазерный Cactus CS-VLC9000BK 106R04085 черный (31400стр.) для Xerox VL C9000DT;Картридж 106R04085 для Xerox черный;Xerox
5456sl;5456;Тонер-картридж БУЛАТ s-Line 106R04085 для Xerox VersaLink C9000 (Чёрный, 31400 стр.);Картридж 106R04085 для Xerox черный;Xerox
5457cs;5457;Картридж лазерный Cactus CS-VLC9000C 106R04082 голубой (26500стр.) для Xerox VL C9000DT;Картридж 106R04082 для Xerox голубой;Xerox
5457sl;5457;Тонер-картридж БУЛАТ s-Line 106R04082 для Xerox VersaLink C9000 (Голубой, 26500 стр.);Картридж 106R04082 для Xerox голубой;Xerox
5458cs;5458;Картридж лазерный Cactus CS-VLC9000M 106R04083 пурпурный (26500стр.) для Xerox VL C9000DT;Картридж 106R04083 для Xerox пурпурный;Xerox
5458sl;5458;Тонер-картридж БУЛАТ s-Line 106R04083 для Xerox VersaLink C9000 (Пурпурный, 26500 стр.);Картридж 106R04083 для Xerox пурпурный;Xerox
5459cs;5459;Картридж лазерный Cactus CS-VLC9000Y 106R04084 желтый (26500стр.) для Xerox VL C9000DT;Картридж 106R04084 для Xerox желтый;Xerox
5459sl;5459;Тонер-картридж БУЛАТ s-Line 106R04084 для Xerox VersaLink C9000 (Жёлтый, 26500 стр.);Картридж 106R04084 для Xerox желтый;Xerox
5472cs;5472;"Картридж струйный Cactus CS-BCI6C голубой (12мл) для Canon S800/ S820/ S900/ S9000; i550/ i560/ i860/ i865/ i905D/ i950S/ i960x/ i965/ i990/ i9100/ i9950; JX500; MP750/ MP760; iP600D/ iP3000/ iP600D/ iP8500; BJC-8200 Photo";Картридж BCI-6EC для Canon голубой;Canon
5472ct;5472;Картридж BCI-6C CT;Картридж BCI-6EC для Canon голубой;Canon
5472sf;5472;Картридж CANON BCI-6C  PIXMA  iP3000/P4000/P4000R/iP5000/iP6000D cyan SuperFine;Картридж BCI-6EC для Canon голубой;Canon
5474sf;5474;Картридж CANON BCI-6M  PIXMA  iP3000/P4000/P4000R/iP5000/iP6000D magenta SuperFine;Картридж BCI-6EM для Canon пурпурный;Canon
5474t2;5474;IC-CBCI-6M Картридж T2 для Canon S800/900/i865/905D/PIXMA iP4000/5000/MP750/780, пурпурный;Картридж BCI-6EM для Canon пурпурный;Canon
5476cs;5476;Картридж струйный Cactus CS-BCI6Y желтый (12мл) для Canon S800/S820/S900/S9000/i550/i560/i860/i865/i905D/i950S/i960x/i965/i990/i9100/i9950/JX500/MP750/MP760/iP600D/iP3000/iP600D/iP8500/BJC-8200;Картридж BCI-6EY для Canon желтый;Canon
5476ct;5476;Картридж BCI-6Y CT;Картридж BCI-6EY для Canon желтый;Canon
5476sf;5476;Картридж CANON BCI-6Y  PIXMA iP3000/P4000/P4000R/iP5000/iP6000D yellow SuperFine;Картридж BCI-6EY для Canon желтый;Canon
5476t2;5476;IC-CBCI-6Y Картридж T2 для Canon S800/900/i865/950D/PIXMA iP4000/5000/MP750/780, желтый;Картридж BCI-6EY для Canon желтый;Canon
5477gp;5477;Картридж GP-106R03509 для принтеров Xerox VersaLink C400/C405 Yellow 2500 копий GalaPrint;Картридж 106R03509 для Xerox желтый;Xerox
5478gp;5478;Картридж GP-106R03508 для принтеров Xerox VersaLink C400/C405 Black 2500 копий GalaPrint;Картридж 106R03508 для Xerox черный;Xerox
5489bs;5489;Струйный картридж Epson T5632 для Stylus Pro 7800/9800, C, 220мл, Blossom;Картридж T5632 для Epson C13T563200 голубой;Epson
5490bs;5490;Струйный картридж Epson T5634 для Stylus Pro 7800/9800, Y, 220мл, Blossom;Картридж T5634 для Epson C13T563400 желтый;Epson
5491bs;5491;Струйный картридж Epson T5635 для Stylus Pro 7800/9800, LC, 220мл, Blossom;Картридж T5635 для Epson C13T563500 светло-голубой;Epson
5492cs;5492;Картридж лазерный Cactus CS-TK5240C-MPS TK-5240C голубой (6000стр.) для Kyocera Ecosys M5526cdn/M5526cdw/P5026cdn/P5026cdw;Картридж TK-5240C для Kyocera голубой XL ресурс;Kyocera
5502bt;5502;Блок проявки БУЛАТ DV315K для Konica Minolta bizhub C250i (Чёрный), ref.;Блок проявки DV-315K для Konica AAV703D черный;Konica Minolta
5502wb;5502;Картридж для Konica Minolta DV-315K Bizhub C250i/C300i/C360i Девелопер Black White Box(Совместимый);Блок проявки DV-315K для Konica AAV703D черный;Konica Minolta
5503bt;5503;Блок проявки БУЛАТ DV315K для Konica Minolta bizhub C250i (Голубой), ref.;Блок проявки DV-315C для Konica AAV70KD голубой;Konica Minolta
5503wb;5503;Картридж для Konica Minolta DV-315C Bizhub C250i/C300i/C360i Девелопер Cyan White Box(Совместимый);Блок проявки DV-315C для Konica AAV70KD голубой;Konica Minolta
5504bt;5504;Блок проявки БУЛАТ DV315K для Konica Minolta bizhub C250i (Пурпурный), ref.;Блок проявки DV-315M для Konica AAV70ED пурпурный;Konica Minolta
5504wb;5504;Картридж для Konica Minolta DV-315M Bizhub C250i/C300i/C360i Девелопер Magent White Box(Совместимый);Блок проявки DV-315M для Konica AAV70ED пурпурный;Konica Minolta
5505bt;5505;Блок проявки БУЛАТ DV315K для Konica Minolta bizhub C250i (Жёлтый), ref.;Блок проявки DV-315Y для Konica AAV708D желтый;Konica Minolta
5505wb;5505;Картридж для Konica Minolta DV-315Y Bizhub C250i/C300i/C360i Девелопер Yellow White Box(Совместимый);Блок проявки DV-315Y для Konica AAV708D желтый;Konica Minolta
5508sl;5508;*Восстановленный* Блок девелопера БУЛАТ s-Line DV512C для Konica Minolta bizhub C224 (Голубой, 600000 стр.), ref.;Блок проявки DV-512C для Konica голубой;Konica Minolta
5508wb;5508;СРОЧНО Картридж для Konica Minolta DV-512C Bizhub 224/284/364/454 Девелопер Cyan White Box (Совместимый);Блок проявки DV-512C для Konica голубой;Konica Minolta
5509sl;5509;*Восстановленный* Блок девелопера БУЛАТ s-Line DV512M для Konica Minolta bizhub C224 (Пурпурный, 600000 стр.), ref.;Блок проявки DV-512M для Konica пурпурный;Konica Minolta
5509wb;5509;Картридж для Konica Minolta DV-512M Bizhub 224/284/364/454 Девелопер Magenta White Box (Совместимый);Блок проявки DV-512M для Konica пурпурный;Konica Minolta
5510sl;5510;*Восстановленный* Блок девелопера БУЛАТ s-Line DV512Y для Konica Minolta bizhub C224 (Жёлтый, 600000 стр.), ref.;Блок проявки DV-512Y для Konica желтый;Konica Minolta
5510wb;5510;Картридж для Konica Minolta DV-512Y Bizhub 224/284/364/454 Девелопер Yellow White Box (Совместимый);Блок проявки DV-512Y для Konica желтый;Konica Minolta
5520sf;5520;Картридж Canon 071 БЕЗ СЧЕТЧИКА LBP120ser/MF270ser 1.2K С ЧИПОМ SuperFine;Картридж 071 для Canon 5645C001 черный с чипом без счётчика;Canon
5522t2;5522;TC-C073 Картридж T2 для Canon i-SENSYS LBP361dw/LBP362dw (27000стр.) черный, с чипом;Картридж 073 для Canon 5724C001 черный с чипом XL ресурс;Canon
5522wb;5522;Картридж для Canon 073 LBP360ser Black 27K WhiteBox (Совместимый);Картридж 073 для Canon 5724C001 черный с чипом XL ресурс;Canon
5523wb;5523;Картридж для Canon 073L LBP360ser Black 11.5K WhiteBox (Совместимый);Картридж 073L для Canon 5723C001 черный с чипом XL ресурс;Canon
5526sf;5526;Картридж HUAWEI F-1500 PixLab X1 1.5K SuperFine;Картридж F-1500 для Huawei 55080066 черный;Huawei
5530cs;5530;Картридж лазерный G&G GG-W1510X W1510X черный (9500стр.) для HP LJ Pro 4003n/dn/dw/MFP4103 fdn/fdw;Картридж W1510X для HP черный с чипом без счётчика XL ресурс;HP
5530hb;5530;Картридж Hi-Black (HB-W1510X) для HP LJ Pro 4003dw/4003dn/MFP 4103fdw/4103fdn, 9,7K;Картридж W1510X для HP черный с чипом без счётчика XL ресурс;HP
5545cs;5545;Картридж лазерный G&G GG-W1106X черный (2500стр.) для HP Laser 107a/107r/107w/135a MFP/135r MFP/135w MFP/137fnw MFP;Картридж W1106X для HP 106X черный с чипом XL ресурс;HP
55467q;5546;Тонер-картридж 7Q 067 для Canon iSENSYS LBP-631, MF651 (Чёрный, 1350 стр.).;Картридж 067BK для Canon черный с чипом без счётчика;Canon
5546sk;5546;Картридж Sakura 067BK ECO (5102C002 ) для Canon i-SENSYS LBP631/LBP633/MF651/MF655/MF657, черный, 1400 к. ECO (чип без счетчика копий);Картридж 067BK для Canon черный с чипом без счётчика;Canon
55477q;5547;Тонер-картридж 7Q 067 для Canon iSENSYS LBP-631, MF651 (Голубой, 1250 стр.).;Картридж 067C для Canon голубой с чипом без счётчика;Canon
5547sk;5547;Картридж Sakura 067C ECO (5101C002) для Canon i-SENSYS LBP631/LBP633/MF651/MF655/MF657, голубой, 1300 к. ECO (чип без счетчика копий);Картридж 067C для Canon голубой с чипом без счётчика;Canon
5548sk;5548;Картридж Sakura 067M ECO (5100C002) для Canon i-SENSYS LBP631/LBP633/MF651/MF655/MF657, пурпурный, 1300 к. ECO (чип без счетчика копий);Картридж 067M для Canon пурпурный с чипом без счётчика;Canon
55497q;5549;Тонер-картридж 7Q 067 для Canon iSENSYS LBP-631, MF651 (Жёлтый, 1250 стр.).;Картридж 067Y для Canon 5099C002 желтый с чипом без счётчика;Canon
5549sk;5549;СРОЧНО Картридж Sakura 067Y ECO (5099C002) для Canon i-SENSYS LBP631/LBP633/MF651/MF655/MF657, желтый, 1300к. ECO (чип без счетчика копий);Картридж 067Y для Canon 5099C002 желтый с чипом без счётчика;Canon
55517q;5551;Тонер картридж 7Q CF217XL (047XL) для HP M102, M130 (Чёрный, 6000 стр.) с магнитным валом;Картридж CF217XL для HP черный XL ресурс;HP
5553bt;5553;Блок проявки БУЛАТ s-Line DV311C (A0XV0KD) для Konica Minolta bizhub C220 (Голубой, 115000 стр.);Блок проявки DV311C для Konica A0XV0KD голубой;Konica Minolta
5554bt;5554;Блок проявки БУЛАТ s-Line DV311M (A0XV0ED) для Konica Minolta bizhub C220 (Пурпурный, 115000 стр.);Блок проявки DV311M для Konica A0XV0ED пурпурный;Konica Minolta
5555bt;5555;Блок проявки БУЛАТ s-Line DV311Y (A0XV08D) для Konica Minolta bizhub C220 (Жёлтый, 115000 стр.);Блок проявки DV311Y для Konica A0XV08D желтый;Konica Minolta
5556bt;5556;Драм-юнит БУЛАТ DK-7300 для Kyocera ECOSYS P4040 (302P793060, 302P793061, 302P793062, 302P793063, 302P793064);Фотобарабан DK-7300 для Kyocera черный;Kyocera
5557bt;5557;Блок проявки Kyocera ECOSYS M6030/P6230 DV-5140 (302NR93020) Black (девелопер отдельно в комплекте);Блок проявки DV-5140 для Kyocera черный;Kyocera
